Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST /auth/login,255,5132,364,12855,2579.74,1.176%,.69020,0.52,0.27,765.7
GET /posts (list),252,8991,384,16226,2844.64,1.190%,.68275,4.48,0.24,6712.3
GET /posts/slug/{slug},249,4306,29,14208,2385.76,0.402%,.67722,1.91,0.28,2890.6
GET /posts/{id},248,4382,15,12737,2620.81,0.806%,.67457,1.82,0.24,2767.8
GET /posts/search (v1),246,4392,22,11643,2494.96,0.000%,.66950,0.37,0.25,572.0
GET /posts/trending (v2),246,9313,159,20551,2945.98,1.626%,.66922,4.55,0.24,6965.0
GET /posts/category/{id}/optimized (v2),242,4057,33,15760,2630.04,0.826%,.66554,3.22,0.25,4960.5
GET /posts/tag/{id}/optimized (v2),240,3636,26,12106,2379.48,0.417%,.66019,0.57,0.24,883.5
GET /comments/post/{id},239,2980,17,14118,2201.57,1.674%,.65753,0.40,0.24,629.4
GET /comments/user/{id},235,3143,19,13521,2195.29,1.702%,.64665,1.86,0.23,2943.9
POST /comments,231,3125,19,12643,2184.15,0.866%,.63758,0.48,0.27,774.4
GET /dashboard/stats,229,3130,53,12290,2155.68,0.000%,.63338,0.35,0.23,561.0
GET /dashboard/user/stats,229,2920,34,13844,2214.13,0.437%,.63395,0.35,0.23,558.3
GET /dashboard/analytics,228,3466,115,13593,2183.73,3.070%,.63152,1.01,0.23,1645.4
GET /dashboard/posts/distribution,221,3821,143,12673,1918.76,2.262%,.61370,0.34,0.23,572.5
GET /dashboard/engagement,216,3641,230,11762,2140.54,3.241%,.60452,1.40,0.22,2365.2
GET /dashboard/recent,209,3802,237,12122,2147.82,1.914%,.58802,131.10,0.21,228295.4
TOTAL,4015,4417,15,20551,3040.56,1.245%,10.86721,149.51,4.04,14088.0
