Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST /auth/login,984,2135,457,5232,708.77,0.000%,6.51906,4.72,2.83,742.0
GET /posts (list),984,22,3,349,21.57,0.000%,6.55366,46.45,2.33,7257.0
GET /posts/slug/{slug},984,19,2,119,15.52,0.000%,6.56757,21.47,2.78,3348.2
GET /posts/{id},977,1066,5,3626,627.66,0.000%,6.53726,21.38,2.36,3348.7
GET /posts/search (v2),977,14,1,92,11.61,0.000%,6.53818,3.65,2.44,572.0
GET /posts/trending (v2),973,1073,6,4201,624.21,0.000%,6.50640,44.38,2.37,6985.0
GET /posts/category/{id}/optimized (v2),973,26,3,129,15.49,0.000%,6.50497,31.90,2.45,5022.4
GET /posts/tag/{id}/optimized (v2),973,16,1,114,12.75,0.000%,6.50592,3.63,2.41,572.0
GET /comments/post/{id},964,1103,31,3665,643.68,0.000%,6.44820,3.60,2.37,572.0
GET /comments/user/{id},954,1108,38,3597,640.24,0.000%,6.39072,19.80,2.34,3172.0
POST /comments,948,1071,7,3586,630.20,0.000%,6.36156,4.70,2.67,755.8
GET /dashboard/stats,941,1088,13,4393,657.46,0.000%,6.31048,3.45,2.30,560.0
GET /dashboard/user/stats,935,1094,16,3867,639.52,0.000%,6.29380,3.37,2.33,548.0
GET /dashboard/analytics,927,1111,16,4045,629.48,0.000%,6.22131,10.23,2.30,1684.6
GET /dashboard/posts/distribution,919,1095,25,3905,639.07,0.000%,6.17840,3.14,2.34,521.0
GET /dashboard/engagement,908,1145,25,4546,636.56,0.000%,6.10285,16.02,2.26,2687.6
GET /dashboard/recent,900,1066,39,3402,594.51,0.000%,6.05828,11.77,2.22,1989.4
TOTAL,16221,832,1,5232,795.08,0.000%,107.40677,251.15,40.65,2394.5
