Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
POST /auth/login,767,1855,457,4120,469.71,0.000%,3.34283,2.49,1.54,763.0
GET /posts (list),767,41,4,3948,274.61,0.000%,3.35519,22.15,1.26,6761.0
GET /posts/slug/{slug},766,16,2,437,25.29,0.000%,3.39690,9.59,1.46,2890.4
GET /posts/{id},763,932,7,3057,434.37,0.000%,3.39933,9.84,1.30,2963.3
GET /posts/search (v2),763,13,1,331,20.94,0.000%,3.40012,1.90,1.34,572.0
GET /posts/trending (v2),763,943,8,3090,419.13,0.000%,3.38872,22.92,1.30,6925.0
GET /posts/category/{id}/optimized (v2),763,22,4,206,15.94,0.000%,3.38923,16.48,1.34,4977.8
GET /posts/tag/{id}/optimized (v2),763,15,2,247,15.75,0.000%,3.39057,2.90,1.33,876.0
GET /comments/post/{id},758,1001,23,2574,430.39,0.000%,3.37027,1.99,1.31,604.7
GET /comments/user/{id},753,1011,13,3517,467.32,0.000%,3.34993,9.66,1.29,2952.4
POST /comments,751,964,6,2731,434.06,0.000%,3.34240,2.47,1.48,756.9
GET /dashboard/stats,748,982,36,2503,428.26,0.000%,3.33637,1.83,1.29,561.0
GET /dashboard/user/stats,745,1018,31,3329,438.09,0.000%,3.31825,1.78,1.30,550.0
GET /dashboard/analytics,740,1246,174,3488,419.23,0.000%,3.29987,5.08,1.29,1575.0
GET /dashboard/posts/distribution,733,1735,330,3694,509.47,0.000%,3.27336,1.68,1.30,524.0
GET /dashboard/engagement,726,1369,156,3603,410.97,0.000%,3.25098,7.46,1.27,2351.0
GET /dashboard/recent,723,1152,129,3129,420.30,0.000%,3.24160,5.68,1.25,1793.0
TOTAL,12792,836,1,4120,698.76,0.000%,55.73856,123.68,22.22,2272.1
